,TSNE_1,TSNE_2,ClusterName
506,-3.7872708,-6.535427,SCGLU2
507,-10.033077,-36.650906,SCGLU2
508,4.8651857,-28.838646,SCGLU2
509,4.6356506,-27.800653,SCGLU2
510,-5.8062196,-30.067041,SCGLU2
511,5.265616,40.081882,SCGLU2
512,-1.7474647,-10.167302,SCGLU2
513,2.6290617,-9.965222,SCGLU2
514,5.7709036,45.15746,SCGLU2
515,-7.267528,-35.175735,SCGLU2
516,-5.2854667,-29.775957,SCGLU2
517,-7.2885146,19.008024,SCGLU2
518,-7.5677485,-34.604412,SCGLU2
519,4.974511,41.200047,SCGLU2
520,-8.050208,-32.003044,SCGLU2
521,7.143029,41.919975,SCGLU2
522,-1.416969,-9.080403,SCGLU2
523,-3.099693,-13.615258,SCGLU2
524,7.888898,41.323193,SCGLU2
525,1.9124634,-32.66966,SCGLU3
526,-0.24002177,-26.838156,SCGLU3
527,-10.600131,-37.47034,SCGLU3
528,-4.9985013,-35.57241,SCGLU3
529,-0.9974534,-34.302315,SCGLU3
530,6.837392,-30.509027,SCGLU3
531,-3.1139958,-36.116863,SCGLU3
532,10.80382,-31.296814,SCGLU3
533,35.949528,-16.074299,SCGLU3
534,-1.4563893,-26.688663,SCGLU3
535,-6.3358483,-37.81458,SCGLU3
536,-7.261248,-19.611023,SCGLU3
537,-3.7343655,-35.662807,SCGLU3
538,-2.7295883,-35.707397,SCGLU3
539,1.0600084,-20.578846,SCGLU3
540,9.29897,-31.17325,SCGLU3
541,-5.4378386,-22.711473,SCGLU3
542,-20.285456,-20.353209,SCGLU3
543,-8.927309,-23.804735,SCGLU3
544,-9.100497,-24.243412,SCGLU3
545,-10.685493,-24.740099,SCGLU3
546,-8.259837,-19.800417,SCGLU3
547,-9.028969,-18.692225,SCGLU3
548,-0.498658,-16.477184,SCGLU3
549,-17.61511,-21.152718,SCGLU3
550,-1.6559571,-17.688396,SCGLU3
551,-5.8663626,-18.75761,SCGLU3
552,0.8003463,-11.892597,SCGLU3
553,-3.2718277,-33.972973,SCGLU3
554,-20.346064,-20.518135,SCGLU3
555,-4.35411,-33.40615,SCGLU3
556,-3.509859,-15.314121,SCGLU3
557,-29.733582,-20.39822,SCGLU3
558,-12.359887,-38.163918,SCGLU3
559,-20.272074,-20.490097,SCGLU3
560,7.0260644,-27.40418,SCGLU3
561,-0.3967656,-4.2021728,SCGLU3
562,-6.8971834,-19.438879,SCGLU3
563,-2.0251882,-22.945631,SCGLU3
564,-1.818828,-31.120998,SCGLU3
565,-3.2780776,-19.18475,SCGLU3
566,-9.241667,-21.76573,SCGLU3
567,10.692085,-30.970898,SCGLU3
568,-10.162295,-20.30934,SCGLU3
569,-17.93021,-21.11284,SCGLU3
570,4.0173373,-29.406233,SCGLU3
571,-8.062749,-10.469672,SCGLU3
572,-9.136789,-24.169313,SCGLU3
573,-5.944725,-38.791306,SCGLU3
574,-12.457036,-40.39729,SCGLU3
575,-8.720161,23.057362,SCGLU3
576,2.4717035,-31.612583,SCGLU3
577,-13.564251,-11.03338,SCGLU3
578,-5.5558305,-32.602703,SCGLU3
579,-12.319602,-38.493587,SCGLU3
580,-5.0931463,-22.705528,SCGLU3
581,-0.012917493,-10.816268,SCGLU3
582,-6.752294,-34.080784,SCGLU3
583,-31.308146,15.789433,SCGLU3
584,2.1826954,-29.93067,SCGLU3
585,2.0220723,-25.480425,SCGLU3
586,4.069573,-27.003439,SCGLU3
587,7.8197074,-40.00278,SCGLU4
588,-9.546318,-43.216396,SCGLU4
589,-4.14431,-40.508747,SCGLU4
590,10.69422,-37.48791,SCGLU4
591,-4.315506,-41.981968,SCGLU4
592,-0.6085517,-29.844385,SCGLU4
593,2.5904276,-35.434742,SCGLU4
594,-8.437219,-41.814533,SCGLU4
595,36.23971,-11.178717,SCGLU4
596,-9.722005,-42.60141,SCGLU4
597,-0.89262414,-41.099613,SCGLU4
598,1.4512494,-39.38095,SCGLU4
599,41.47061,-9.080369,SCGLU4
600,-8.204912,-29.119915,SCGLU4
601,1.9199955,-36.88845,SCGLU4
602,-1.9256672,-31.217752,SCGLU4
603,4.136222,-39.058834,SCGLU4
604,5.4210086,-36.506966,SCGLU4
605,8.422537,-41.781105,SCGLU4
606,7.647238,-34.47244,SCGLU4
607,-11.250287,-42.341183,SCGLU4
608,11.034394,-31.022085,SCGLU4
609,-8.45149,-25.004684,SCGLU4
610,8.134074,-39.92848,SCGLU4
611,-0.8098532,-34.804512,SCGLU4
612,6.080583,-34.688595,SCGLU4
613,-4.0193105,-44.460987,SCGLU4
614,5.9233418,-40.69229,SCGLU4
615,8.247526,45.791103,SCGLU4
616,6.739927,-36.205505,SCGLU4
617,-5.382457,-42.272224,SCGLU4
618,13.649092,-35.704918,SCGLU4
619,-4.13238,-42.102478,SCGLU4
620,-8.671469,-45.957844,SCGLU4
621,-5.926457,-39.707634,SCGLU4
622,-7.414544,-39.398724,SCGLU4
623,3.8919978,-35.848717,SCGLU4
624,5.139683,-43.407127,SCGLU4
625,-8.764537,-44.107246,SCGLU4
626,6.3734207,-40.253387,SCGLU4
627,-11.449986,-42.29456,SCGLU4
628,11.237784,-31.950193,SCGLU4
629,9.505725,-32.759617,SCGLU4
630,11.188688,-37.03979,SCGLU4
631,1.3354313,-37.000153,SCGLU4
632,-1.1689513,-34.071575,SCGLU4
633,-12.751796,-39.264725,SCGLU4
634,-2.7963393,-33.438858,SCGLU4
635,3.523695,-43.062214,SCGLU4
636,30.683086,-24.091743,SCGLU4
637,4.7191496,-42.884872,SCGLU4
638,0.21136574,-28.698265,SCGLU4
639,4.413219,-30.213232,SCGLU4
640,14.642341,-33.560764,SCGLU4
641,-7.5341763,-44.819084,SCGLU4
642,-6.214243,-38.101414,SCGLU4
643,6.7958136,-41.55879,SCGLU4
644,12.306086,-31.014463,SCGLU4
645,8.625532,-38.553276,SCGLU4
646,10.170344,-36.915775,SCGLU4
647,6.036009,-39.166023,SCGLU4
648,7.9415627,-27.013334,SCGLU4
649,8.581452,-38.780884,SCGLU4
650,-7.103595,-40.995922,SCGLU4
651,-7.1515636,-42.79652,SCGLU4
652,11.714569,-29.268303,SCGLU4
653,9.574103,44.988865,SCGLU4
654,2.8002388,-27.159,SCGLU4
655,-5.023816,-38.932472,SCGLU4
656,10.757781,-38.799355,SCGLU4
657,-9.018834,-39.652958,SCGLU4
658,3.4276423,-36.688896,SCGLU4
659,3.5032,-41.089466,SCGLU4
660,-0.2903516,-35.011795,SCGLU4
661,9.60724,44.584297,SCGLU4
662,-0.264179,-44.318626,SCGLU4
663,10.18093,-36.009308,SCGLU4
664,4.5569444,-32.8883,SCGLU4
665,10.234073,45.57035,SCGLU4
666,9.398714,-39.81229,SCGLU4
667,6.23663,-36.828926,SCGLU4
668,8.224598,-41.24309,SCGLU4
669,-5.709393,-42.278187,SCGLU4
670,5.136419,-41.378605,SCGLU4
671,5.859621,-41.693817,SCGLU4
672,-9.20237,-37.753944,SCGLU4
673,-8.368382,-38.09931,SCGLU4
674,-11.059516,-38.766457,SCGLU4
675,7.0408726,-39.42156,SCGLU4
676,-9.053197,-40.00827,SCGLU4
677,7.138441,-38.562424,SCGLU4
678,3.4465654,-40.923004,SCGLU4
679,9.284085,-35.027805,SCGLU4
